Name,city_ibge_code,estimated_population_2019
Triunfo Potiguar-RN,2414456.0,3237.0
Touros-RN,2414407.0,33287.0
Várzea-RN,2414704.0,5500.0
São José do Campestre-RN,2412302.0,12856.0
São José do Seridó-RN,2412401.0,4634.0
São Fernando-RN,2411809.0,3584.0
São Gonçalo do Amarante-RN,2412005.0,102400.0
São Francisco do Oeste-RN,2411908.0,4228.0
São José de Mipibu-RN,2412203.0,43899.0
São Miguel-RN,2412500.0,23519.0
São João do Sabugi-RN,2412104.0,6193.0
São Bento do Trairí-RN,2411700.0,4449.0
Porto Velho-RO,1100205.0,529544.0
Pimenteiras do Oeste-RO,1101468.0,2169.0
Pimenta Bueno-RO,1100189.0,36660.0
Parecis-RO,1101450.0,6074.0
Ouro Preto do Oeste-RO,1100155.0,36035.0
Novo Horizonte do Oeste-RO,1100502.0,8538.0
Nova União-RO,1101435.0,6970.0
Nova Mamoré-RO,1100338.0,30583.0
Nova Brasilândia D'Oeste-RO,1100148.0,20474.0
Monte Negro-RO,1101401.0,15852.0
Mirante da Serra-RO,1101302.0,10947.0
Ministro Andreazza-RO,1101203.0,9660.0
Primavera de Rondônia-RO,1101476.0,2856.0
Urupá-RO,1101708.0,11467.0
Theobroma-RO,1101609.0,10444.0
Teixeirópolis-RO,1101559.0,4308.0
São Miguel do Guaporé-RO,1100320.0,23005.0
São Francisco do Guaporé-RO,1101492.0,20266.0
São Felipe D'Oeste-RO,1101484.0,5172.0
Seringueiras-RO,1101500.0,11856.0
Santa Luzia D'Oeste-RO,1100296.0,6495.0
Rolim de Moura-RO,1100288.0,55058.0
Rio Crespo-RO,1100262.0,3764.0
Presidente Médici-RO,1100254.0,18986.0
Vale do Anari-RO,1101757.0,11204.0
Machadinho D'Oeste-RO,1100130.0,39991.0
Castanheiras-RO,1100908.0,3052.0
Candeias do Jamari-RO,1100809.0,26693.0
